"","linha","texto","categoria"
"1",1,"Queridas brasileiras e queridos brasileiros,",24
"2",2,"Pela decisão soberana do povo, hoje será a primeira vez que a faixa presidencial cingirá o ombro de uma mulher",24
"3",3,"Sinto uma imensa honra por essa escolha do povo brasileiro e sei do significado histórico desta decisão",24
"4",4,"Sei, também, como é aparente a suavidade da seda verde-amarela da faixa presidencial, pois ela traz consigo uma enorme responsabilidade perante a nação",24
"5",5,"Para assumi-la, tenho comigo a força e o exemplo da mulher brasileira",24
"6",6," Abro meu coração para receber, neste momento, uma centelha de sua imensa energia",24
"7",7,"E sei que meu mandato deve incluir a tradução mais generosa desta ousadia do voto popular que, após levar à presidência um homem do povo, decide convocar uma mulher para dirigir os destinos do país",24
"8",8,"Venho para abrir portas para que muitas outras mulheres, também possam, no futuro, ser presidenta; e para que --no dia de hoje-- todas as brasileiras sintam o orgulho e a alegria de ser mulher",2
"9",9,"Não venho para enaltecer a minha biografia; mas para glorificar a vida de cada mulher brasileira",2
"10",10," Meu compromisso supremo é honrar as mulheres, proteger os mais frágeis e governar para todos!",2
"11",11,"Venho, antes de tudo, para dar continuidade ao maior processo de afirmação que este país já viveu",24
"12",12,"Venho para consolidar a obra transformadora do presidente Luis Inácio Lula da Silva, com quem tive a mais vigorosa experiência política da minha vida e o privilégio de servir ao país, ao seu lado, nestes últimos anos",20
"13",13,"De um presidente que mudou a forma de governar e levou o povo brasileiro a confiar ainda mais em si mesmo e no futuro do seu País",20
"14",14,"A maior homenagem que posso prestar a ele é ampliar e avançar as conquistas do seu governo",24
"15",15," Reconhecer, acreditar e investir na força do povo foi a maior lição que o presidente Lula deixou para todos nós",20
"16",16,"Sob sua liderança, o povo brasileiro fez a travessia para uma outra margem da história",24
"17",17,"Minha missão agora é de consolidar esta passagem e avançar no caminho de uma nação geradora das mais amplas oportunidades",24
"18",18,"Quero, neste momento, prestar minha homenagem a outro grande brasileiro, incansável lutador, companheiro que esteve ao lado do Presidente Lula nestes oito anos: nosso querido vice José Alencar",24
"19",19," Que exemplo de coragem e de amor à vida nos dá este homem! E que parceria fizeram o presidente Lula e o vice-presidente José Alencar, pelo Brasil e pelo nosso povo!",24
"20",20,"Eu e Michel Temer nos sentimos responsáveis por seguir no caminho iniciado por eles",24
"21",21,"Um governo se alicerça no acúmulo de conquistas realizadas ao longo da história",20
"22",22," Ele sempre será, ao seu tempo, mudança e continuidade",24
"23",23," Por isso, ao saudar os extraordinários avanços recentes, é justo lembrar que muitos, a seu tempo e a seu modo, deram grandes contribuições às conquistas do Brasil de hoje",24
"24",24,"Vivemos um dos melhores períodos da vida nacional: milhões de empregos estão sendo criados; nossa taxa de crescimento mais que dobrou e encerramos um longo período de dependência do FMI, ao mesmo tempo em que superamos nossa dívida externa",18
"25",25,"Reduzimos, sobretudo, a nossa histórica dívida social, resgatando milhões de brasileiros da tragédia da miséria e ajudando outros milhões a alcançarem a classe média",13
"26",26,"Mas, em um país com a complexidade do nosso, é preciso sempre querer mais, descobrir mais, inovar nos caminhos e buscar novas soluções",24
"27",27,"Só assim poderemos garantir, aos que melhoraram de vida, que eles podem alcançar mais; e provar, aos que ainda lutam para sair da miséria, que eles podem, com a ajuda do governo e de toda sociedade, mudar de patamar",13
"28",28,"Que podemos ser, de fato, uma das nações mais desenvolvidas e menos desiguais do mundo - um país de classe média sólida e empreendedora",13
"29",29,"Uma democracia vibrante e moderna, plena de compromisso social, liberdade política e criatividade institucional",24
"30",30,"Queridos brasileiros e queridas brasileiras,",24
"31",31,"Para enfrentar estes grandes desafios é preciso manter os fundamentos que nos garantiram chegar até aqui",24
"32",32,"Mas, igualmente, agregar novas ferramentas e novos valores",24
"33",33,"Na política é tarefa indeclinável e urgente uma reforma política com mudanças na legislação para fazer avançar nossa jovem democracia, fortalecer o sentido programático dos partidos e aperfeiçoar as instituições, restaurando valores e dando mais transparência ao conjunto da atividade pública",20
"34",34,"Para dar longevidade ao atual ciclo de crescimento é preciso garantir a estabilidade de preços e seguir eliminando as travas que ainda inibem o dinamismo de nossa economia, facilitando a produção e estimulando a capacidade empreendedora de nosso povo, da grande empresa até os pequenos negócios locais, do agronegócio à agricultura familiar",1
"35",35,"É, portanto, inadiável a implementação de um conjunto de medidas que modernize o sistema tributário, orientado pelo princípio da simplificação e da racionalidade",1
"36",36," O uso intensivo da tecnologia da informação deve estar a serviço de um sistema de progressiva eficiência e elevado respeito ao contribuinte",17
"37",37,"Valorizar nosso parque industrial e ampliar sua força exportadora será meta permanente",18
"38",38," A competitividade de nossa agricultura e da pecuária, que faz do Brasil grande exportador de produtos de qualidade para todos os continentes, merecerá toda nossa atenção",18
"39",39," Nos setores mais produtivos a internacionalização de nossas empresas já é uma realidade",18
"40",40,"O apoio aos grandes exportadores não é incompatível com o incentivo à agricultura familiar e ao microempreendedor",4
"41",41," As pequenas empresas são responsáveis pela maior parcela dos empregos permanentes em nosso país",15
"42",42," Merecerão políticas tributárias e de crédito perenes",1
"43",43,"Valorizar o desenvolvimento regional é outro imperativo de um país continental, sustentando a vibrante economia do nordeste, preservando e respeitando a biodiversidade da Amazônia no norte, dando condições à extraordinária produção agrícola do centro-oeste, a força industrial do sudeste e a pujança e o espírito de pioneirismo do sul",4
"44",44,"É preciso, antes de tudo, criar condições reais e efetivas capazes de aproveitar e potencializar, ainda mais e melhor, a imensa energia criativa e produtiva do povo brasileiro",24
"45",45,"No plano social, a inclusão só será plenamente alcançada com a universalização e a qualificação dos serviços essenciais",13
"46",46," Este é um passo, decisivo e irrevogável, para consolidar e ampliar as grandes conquistas obtidas pela nossa população",13
"47",47,"É, portanto, tarefa indispensável uma ação renovada, efetiva e integrada dos governos federal, estaduais e municipais, em particular nas áreas da saúde, da educação e da segurança, vontade expressa das famílias brasileiras",20
"48",48,"Queridas brasileiras e queridos brasileiros,",24
"49",49,"A luta mais obstinada do meu governo será pela erradicação da pobreza extrema e a criação de oportunidades para todos",13
"50",50,"Uma expressiva mobilidade social ocorreu nos dois mandatos do Presidente Lula",13
"51",51," Mas, ainda existe pobreza a envergonhar nosso país e a impedir nossa afirmação plena como povo desenvolvido",13
"52",52,"Não vou descansar enquanto houver brasileiros sem alimentos na mesa, enquanto houver famílias no desalento das ruas, enquanto houver crianças pobres abandonadas à própria sorte",13
"53",53," O congraçamento das famílias se dá no alimento, na paz e na alegria",13
"54",54," E este é o sonho que vou perseguir!",24
"55",55,"Esta não é tarefa isolada de um governo, mas um compromisso a ser abraçado por toda sociedade",24
"56",56," Para isso peço com humildade o apoio das instituições públicas e privadas, de todos os partidos, das entidades empresariais e dos trabalhadores, das universidades, da juventude, de toda a imprensa e de das pessoas de bem",20
"57",57,"A superação da miséria exige prioridade na sustentação de um longo ciclo de crescimento",13
"58",58," É com crescimento que serão gerados os empregos necessários para as atuais e as novas gerações",5
"59",59,"É com crescimento, associado a fortes programas sociais, que venceremos a desigualdade de renda e do desenvolvimento regional",13
"60",60,"Isso significa - reitero - manter a estabilidade econômica como valor absoluto",1
"61",61," Já faz parte de nossa cultura recente a convicção de que a inflação desorganiza a economia e degrada a renda do trabalhador",1
"62",62," Não permitiremos, sob nenhuma hipótese, que esta praga volte a corroer nosso tecido econômico e a castigar as famílias mais pobres",1
"63",63,"Continuaremos fortalecendo nossas reservas para garantir o equilíbrio das contas externas",1
"64",64," Atuaremos decididamente nos fóruns multilaterais na defesa de políticas econômicas saudáveis e equilibradas, protegendo o país da concorrência desleal e do fluxo indiscriminado de capitais especulativos",18
"65",65,"Não faremos a menor concessão ao protecionismo dos países ricos que sufoca qualquer possibilidade de superação da pobreza de tantas nações pela via do esforço de produção",18
"66",66,"Faremos um trabalho permanente e continuado para melhorar a qualidade do gasto público",20
"67",67,"O Brasil optou, ao longo de sua história, por construir um estado provedor de serviços básicos e de previdência social pública",24
"68",68,"Isso significa custos elevados para toda a sociedade, mas significa também a garantia do alento da aposentadoria para todos e serviços de saúde e educação universais",1
"69",69," Portanto, a melhoria dos serviços é também um imperativo de qualificação dos gastos governamentais",20
"70",70,"Outro fator importante da qualidade da despesa é o aumento dos níveis de investimento em relação aos gastos de custeio",1
"71",71," O investimento público é essencial como indutor do investimento privado e como instrumento de desenvolvimento regional",1
"72",72,"Através do Programa de Aceleração do Crescimento e do Minha Casa Minha Vida, manteremos o investimento sob estrito e cuidadoso acompanhamento da Presidência da República e dos ministérios",20
