"","linha","texto","categoria"
"1",1,"Excelentíssimo Senhor Presidente do Congresso Nacional; Excelentíssimo Senhor Vice-Presidente da República; Excelentíssimos Senhores Chefes de Estado e de Governo estrangeiros; Excelentíssimo Senhor Presidente da Câmara dos Deputados; Excelentíssimo Senhor Presidente do Supremo Tribunal Federal; Excelentíssimos Senhores Chefes das Missões Especiais estrangeiras; Excelentíssimos Senhores integrantes da Mesa; Excelentíssimos Senhores Senadores; Excelentíssimos Senhores Deputados; Altas Autoridades da República; Senhoras e Senhores",24
"2",2," Venho somar minha esperança à esperança de todos neste dia de congraçamento",24
"3",3," Permitam que, antes do Presidente, fale aqui o cidadão que fez da esperança uma obsessão, como tantos brasileiros",24
"4",4," Pertenço a uma geração que cresceu embalada pelo sonho de um Brasil que fosse ao mesmo tempo democrático, desenvolvido, livre e justo",24
"5",5," Vem de longe a chama deste sonho",24
"6",6," Vem dos heróis da Independência",24
"7",7," Vem dos abolicionistas",24
"8",8," Vem dos tenentes revolucionários da Velha República Essa chama eu vi brilhar nos olhos do meu pai, Leônidas Cardoso, um dos generais da campanha ""O petróleo é nosso"", como já brilhara no fim do Império nos olhos do meu avô, abolicionista e republicano",24
"9",9," Para os estudantes que jogavam, como eu, todo o seu entusiasmo nessas lutas, petróleo e industrialização eram o bilhete de passagem para o mundo moderno do pós-guerra",8
"10",10," Asseguravam um lugar para o Brasil no carro do progresso tecnológico, que acelerava e ameaçava nos deixar na poeira",17
"11",11," Por algum tempo, na Presidência de Juscelino Kubitschek, o futuro nos pareceu estar perto",24
"12",12," Havia desenvolvimento",1
"13",13," O Brasil se industrializava rapidamente",15
"14",14," Nossa democracia funcionava, apesar dos sobressaltos",24
"15",15," E havia perspectivas de melhoria social",13
"16",16," Mas a História dá voltas que nos confundem",24
"17",17," Os ""anos dourados"" de JK terminaram com inflação e tensões políticas em alta",24
"18",18," Vieram, então, anos sombrios, que primeiro trouxeram de volta o crescimento, mas sacrificaram a liberdade",24
"19",19," Trouxeram progresso, mas para poucos",13
"20",20," E, depois, nem isso, mas somente o legado - este, sim, para todos - de uma dívida externa que amarrou a economia e de uma inflação que agravou as mazelas sociais na década de 1980",1
"21",21," Assim eu vi meus filhos nascerem, e meus netos, sonhando e lutando para divisar o dia em que o desenvolvimento, a liberdade e a justiça - justiça, liberdade e desenvolvimento - andariam juntos nesta terra",24
"22",22," Eu nunca duvidei de que esse dia chegaria",24
"23",23," Mas nunca pensei que ele pudesse me encontrar na posição que assumo hoje, escolhido pela maioria dos meus concidadãos para liderar a caminhada rumo ao Brasil dos nossos sonhos",24
"24",24," Sem arrogância, mas com absoluta convicção, eu digo: este país vai dar certo! Não por minha causa, mas por causa de todos nós",24
"25",25," Não só por causa dos nossos sonhos - pela nossa imensa vontade de ver o Brasil dar certo -, mas porque o momento amadureceu e o Brasil tem tudo para dar certo",24
"26",26," Recuperamos aquele que deve ser o bem mais precioso de um povo: a liberdade",2
"27",27," Pacificamente, com tranquilidade, e apesar das mágoas e das cicatrizes que ficam como um símbolo para que novas situações de violência não se repitam, viramos a página do autoritarismo, que, com nomes e formas diferentes, desvirtuou nossa República desde a sua fundação",24
"28",28," Para os jovens de hoje, que pintaram a cara e ocuparam as ruas exigindo decência dos seus representantes, assim como para as pessoas da minha geração, que aprenderam o valor da liberdade, ao perdê-la, a democracia é uma conquista definitiva",2
"29",29," Nada nem ninguém nos farão abrir mão dela",24
"30",30," Recuperamos a confiança no desenvolvimento",1
"31",31," Não é mais uma questão de esperança, apenas",24
"32",32," Nem é euforia passageira pelos dois bons anos que acabamos de ter",1
"33",33," Este ano será melhor",24
"34",34," O ano que vem, melhor ainda",24
"35",35," Hoje não há especialista sério que preveja para o Brasil outra coisa que não um longo período de crescimento",1
"36",36," As condições internacionais são favoráveis",19
"37",37," O peso da dívida externa já não nos sufoca",18
"38",38," Aqui dentro, nossa economia é como uma planta sadia depois da longa estiagem",1
"39",39," As raízes - as pessoas e as empresas que produzem riqueza - resistiram aos rigores da estagnação e da inflação",1
"40",40," Sobreviveram",24
"41",41," Saíram fortes da provação",24
"42",42," Nossos empresários souberam inovar, souberam refazer suas fábricas e escritórios, souberam vencer as dificuldades",15
"43",43," Os trabalhadores brasileiros souberam enfrentar as agruras do arbítrio e da recessão e os desafios das novas tecnologias",5
"44",44," Reorganizaram seus sindicatos para serem capazes, como hoje são, de reivindicar seus direitos e sua parte no bolo do crescimento económico",13
"45",45," Chegou o tempo de crescer e florescer",24
"46",46," Mais importante: hoje nós sabemos o que o Governo tem que fazer para sustentar o crescimento da economia",20
"47",47," E vamos fazer",24
"48",48," Aliás, já estamos fazendo",24
"49",49," Quando muitos duvidaram se seríamos capazes de colocar nossa própria casa em ordem, nós começamos a arrumá-la nestes dois anos",20
"50",50," Sem ceder um milímetro da nossa liberdade, sem quebrar contratos nem lesar direitos, acabamos com a superinflação",1
"51",51," Devemos isso não só aos que refizeram os rumos da economia, mas também ao Presidente Itamar Franco, que granjeou o respeito dos brasileiros por sua simplicidade e honestidade",20
"52",52," No momento em que deixa o Governo, cercado da estima que fez por merecer, agradeço, em nome da Nação, a Itamar Franco pelas oportunidades que nos proporcionou",20
"53",53," Ao escolher a mim para sucedê-lo, a maioria absoluta dos brasileiros fez uma opção pela continuidade do Plano Real e pelas reformas estruturais necessárias para afastar de uma vez por todas o fantasma da inflação",1
"54",54," A isso eu me dedicarei com toda a energia, como Presidente, contando com o apoio do Congresso, dos estados e de todas as forças vivas da Nação",1
"55",55," Temos de volta a liberdade, portanto",2
"56",56," E teremos desenvolvimento",1
"57",57," Falta a justiça social",13
"58",58," É esse o grande desafio do Brasil neste fim de século",13
"59",59," Será esse o objetivo número um do meu Governo",13
"60",60," Joaquim Nabuco, o grande propagandista do abolicionismo, pensava em si mesmo e em seus companheiros como titulares de um ""mandato da raça negra"" - mandato que não era dado pelos escravos, pois eles não teriam meios de reclamar seus direitos, mas que os abolicionistas assumiam mesmo assim, por sentirem no coração o horror da eScravidão e por entenderem que os grilhões dela mantinham o País inteiro preso no atraso económico, social e político",24
