"","linha","texto","categoria"
"1",1,"Meus queridos brasileiros e brasileiras, É com muita emoção que eu subo a este Parlatório para conversar um pouco com vocês",24
"2",2," Hoje é para mim um dia de profunda emoção",24
"3",3," Primeiro, porque ser Presidente da República do meu País, eu recebo isso como uma bênção de Deus, porque eu digo sempre que chegar onde eu cheguei, saindo de onde eu saí, eu só posso dizer que existe um ser superior que decide os destinos de cada um de nós e, por isso, eu estou aqui",24
"4",4," Mas estou aqui, também, por causa de vocês",24
"5",5," Eu sou profunda e eternamente grato ao comportamento do povo brasileiro nesses quatro anos do meu mandato",24
"6",6," Em momentos muito difíceis, quando alguns imaginavam que o jogo tinha acabado, o povo entrava em campo e dizia claramente: nós construímos a democracia deste País e nós vamos sustentar a democracia deste País, custe o que custar, doa a quem doer",24
"7",7," Sou profundamente grato a essa convivência com meu companheiro José Alencar, meu vice-presidente da República",20
"8",8," Este homem que, na minha opinião, também por obra de Deus, fez com que nós nos encontrássemos, e embora tivéssemos origens muito semelhantes, ele trilhou um caminho e eu trilhei outro: ele foi para a vida empresarial e se transformou num grande empresário, um dos maiores do nosso País, e eu trilhei o caminho do movimento sindical",24
"9",9," E, por conta de vocês, eu me transformei numa pessoa importante na política brasileira, e quis Deus que um belo dia eu encontrasse o José Alencar em Belo Horizonte, ouvi um pronunciamento dele e, depois que o ouvi falar, eu saí de lá convencido de que nós tínhamos encontrado um jeito de unificar capital e trabalho na Presidência da República e na Vice-Presidência, e saí de lá convencido de que eu tinha conquistado o meu vice",24
"10",10," E sou profundamente grato pela lealdade, pelo  e pela compreensão que este homem tem, da defesa dos interesses nacionais, dos interesses brasileiros",24
"11",11," Sou profundamente grato à compreensão da dona Marisa Letícia que, nesses quatro anos, esteve junto comigo, nos bons e nos maus momentos",24
"12",12," E certamente, José Alencar e eu somos gratos também à dona Mariza, a esposa do José Alencar, porque certamente nos momentos difíceis ela era o ombro, o consolo e a consciência política para nos afirmar: “Continuem lutando, porque a única coisa que vale, que compensa, é a gente continuar lutando para garantir as conquistas que esse povo tão sofrido vem conquistando ao longo dos anos”",24
